gene	Sample_1-1	Sample_1-2	Sample_1-3	Sample_1-4	Sample_2-1	Sample_2-2	Sample_2-3	Sample_2-4
Gene_2519	24057	36585	24108	31149	27878	32223	22315	29380
Gene_2520	6	14	5	3	4	4	5	4
Gene_2521	68	71	83	120	76	64	74	78
Gene_2522	2	3	4	1	15	14	10	12
Gene_2523	0	0	1	1	0	0	0	0
Gene_2524	0	0	0	0	0	0	0	1
Gene_2525	1855	1829	1675	1602	1193	1718	1581	1392
Gene_2526	363	353	393	360	546	449	258	372
Gene_2527	0	0	0	0	0	0	1	0
Gene_2528	113	75	124	178	99	95	105	116
Gene_2529	0	4	3	7	1	0	2	3
Gene_2530	85	85	52	94	110	89	95	89
Gene_2531	52	54	27	49	38	34	26	45
Gene_2532	1	2	8	1	0	2	1	2
Gene_2533	292	283	441	317	275	402	331	233
Gene_2534	70199	64956	70453	85438	78625	42190	63007	61254
Gene_2535	15	12	8	24	36	58	65	74
Gene_2536	2480	3106	2465	2571	2405	1215	2355	2843
Gene_2537	9	9	5	11	8	12	9	4
Gene_2538	2	1	3	0	1	0	0	3
Gene_2539	642	656	728	964	576	739	776	723
Gene_2540	1683	1727	1516	1317	2206	1592	1407	1750
Gene_2541	9	7	4	5	6	4	4	6
Gene_2542	0	0	2	0	0	2	1	3
Gene_2543	14	3	6	8	9	10	6	9
Gene_2544	1	1	2	4	1	4	6	0
Gene_2545	3	3	4	2	0	4	2	4
Gene_2546	5263	6378	8972	6272	23830	44824	49428	36697
Gene_2547	234	267	200	242	227	168	274	227
Gene_2548	1184	1344	1125	1405	1607	2297	1336	1080
Gene_2549	0	3	3	1	1	1	7	3
Gene_2550	8	13	12	14	55	33	32	23
Gene_2551	377	291	295	220	258	257	285	239
Gene_2552	1	0	2	0	1	0	1	0
Gene_2553	5221	5531	4098	3827	4104	7021	5782	6273
Gene_2554	299	355	217	349	373	243	358	253
Gene_2555	1	0	0	1	1	0	0	2
Gene_2556	274	308	295	175	263	315	191	295
Gene_2557	2501	4485	2632	2622	3014	3032	3434	2034
Gene_2558	20	52	29	25	25	19	32	28
Gene_2559	9	3	8	3	5	0	11	11
Gene_2560	0	0	0	0	0	0	0	0
Gene_2561	10	19	10	13	18	17	26	13
Gene_2562	1273	893	1681	1723	1460	960	1513	996
Gene_2563	14	10	14	10	11	9	10	4
Gene_2564	9528	6478	8398	8179	8538	10256	9331	5681
Gene_2565	5	0	1	2	3	4	2	2
Gene_2566	1535	1995	1758	1426	961	1523	1905	1952
Gene_2567	81	41	40	72	38	41	62	47
Gene_2568	0	0	0	1	4	2	0	0
Gene_2569	2	4	0	6	5	2	9	4
Gene_2570	117	162	145	168	40	42	43	53
Gene_2571	9	5	9	8	31	28	35	33
Gene_2572	46	26	32	52	30	42	29	36
Gene_2573	101	49	65	83	119	93	71	81
Gene_2574	48	46	55	38	36	44	29	59
Gene_2575	1256	1295	1104	821	727	1491	884	660
Gene_2576	1	0	2	1	0	1	2	1
Gene_2577	704	704	831	692	1046	944	723	659
Gene_2578	242	318	297	286	292	349	264	324
Gene_2579	2159	2108	3822	2501	2690	3277	2934	3577
Gene_2580	1004	1254	1409	1052	1400	872	1234	1437
Gene_2581	28	35	29	40	45	38	26	27
Gene_2582	10402	13154	9991	8384	3642	3687	4428	1995
Gene_2583	124	95	120	116	123	92	136	107
Gene_2584	893	986	1376	1065	489	462	409	301
Gene_2585	162	149	101	120	167	139	158	113
Gene_2586	166	167	222	199	186	205	162	157
Gene_2587	15	20	10	25	25	31	20	15
Gene_2588	200	173	141	398	945	859	1028	1042
Gene_2589	40	42	56	63	61	18	47	32
Gene_2590	7489	8287	8595	8356	10042	7301	7591	6858
Gene_2591	369	320	304	220	231	306	301	283
Gene_2592	1	0	0	1	2	1	0	0
Gene_2593	15729	17772	13506	13608	16133	10116	15547	22181
Gene_2594	29	18	20	11	14	13	20	9
Gene_2595	3	2	1	2	1	2	1	1
Gene_2596	0	0	0	0	1	0	1	0
Gene_2597	675	864	583	1101	4473	2946	2986	4804
Gene_2598	7417	8104	9594	9434	9502	8871	4957	10088
Gene_2599	85	50	85	96	29	31	29	28
Gene_2600	3765	4519	5699	6834	4147	5650	4743	4351
Gene_2601	24	34	17	28	24	13	19	36
Gene_2602	9850	9171	7031	3360	25830	30904	28683	30203
Gene_2603	200	134	90	113	103	110	134	107
Gene_2604	1	1	3	0	0	0	2	4
Gene_2605	102	77	86	89	106	126	62	122
Gene_2606	445	695	730	551	442	648	668	598
Gene_2607	376	552	403	379	334	389	527	495
Gene_2608	904	1334	1125	1218	878	1590	759	909
Gene_2609	9	6	3	15	11	7	4	4
Gene_2610	1869	1877	2896	1631	609	376	681	646
Gene_2611	7	2	9	6	2	4	3	8
Gene_2612	10	9	4	9	5	3	13	9
Gene_2613	50	40	48	58	42	53	62	39
Gene_2614	47	56	34	80	88	70	72	102
Gene_2615	15832	8575	17742	18419	57430	47076	46056	57496
Gene_2616	494	661	329	302	463	410	559	415
Gene_2617	606	654	654	724	577	656	793	831
Gene_2618	571	850	793	670	935	603	655	545
Gene_2619	2	3	2	4	1	1	3	1
Gene_2620	512	736	611	612	727	975	678	819
Gene_2621	102	109	168	142	122	117	73	72
Gene_2622	7	8	9	11	19	17	4	12
Gene_2623	0	2	4	4	5	3	6	4
Gene_2624	12	20	28	22	34	21	31	31
Gene_2625	3	3	4	3	5	2	3	2
Gene_2626	14	15	26	23	13	17	10	15
Gene_2627	642	1355	875	1067	1071	1455	900	1176
Gene_2628	1	2	1	0	1	1	1	3
Gene_2629	313	325	230	327	227	256	299	232
Gene_2630	2990	2557	4575	4752	2036	6352	5744	3740
Gene_2631	760	896	918	964	756	896	895	525
Gene_2632	145	60	56	82	120	104	100	82
Gene_2633	216	139	219	113	122	156	129	129
Gene_2634	199	174	183	176	114	155	165	128
Gene_2635	27446	21693	27005	29366	25943	24135	27552	23453
Gene_2636	4	1	7	10	8	6	6	5
Gene_2637	339	360	259	318	270	318	287	393
Gene_2638	12552	14294	13513	16168	13404	7966	14897	13792
Gene_2639	0	1	0	3	2	0	0	1
Gene_2640	42	69	43	64	73	67	58	33
Gene_2641	4	1	3	1	2	3	3	3
Gene_2642	7	4	13	6	9	19	12	15
Gene_2643	110	105	119	128	183	209	158	152
Gene_2644	4	5	6	5	5	5	6	8
Gene_2645	23058	20261	29003	19580	30072	25344	17515	24344
Gene_2646	1459	1543	2123	1727	903	1690	1347	1622
Gene_2647	9	6	4	7	9	1	4	5
Gene_2648	3	3	9	4	2	5	1	6
Gene_2649	9	9	7	8	11	6	6	8
Gene_2650	0	0	0	1	0	0	0	0
Gene_2651	68	55	50	49	84	32	27	48
Gene_2652	101	99	124	121	75	100	75	64
Gene_2653	153119	113797	110644	150149	122889	87743	141903	141035
Gene_2654	10229	10230	8777	13128	14082	9245	7570	10826
Gene_2655	16	20	16	23	7	6	4	9
Gene_2656	6	6	5	7	12	3	9	9
Gene_2657	12	11	2	9	4	16	8	6
Gene_2658	498	530	812	778	1022	698	660	584
Gene_2659	39469	56356	41187	42198	46605	46523	47908	50481
Gene_2660	10	3	3	4	5	4	5	2
Gene_2661	93	51	74	69	74	68	60	43
Gene_2662	588	733	453	617	394	337	877	460
Gene_2663	207945	327109	172891	162884	191817	176143	142827	157744
Gene_2664	31	25	64	19	9	7	7	22
Gene_2665	2294	2442	1910	4022	2630	2825	1907	2466
Gene_2666	1567	1636	1968	1371	840	533	582	668
Gene_2667	355	432	364	364	395	299	386	291
Gene_2668	445	294	395	489	340	424	234	284
Gene_2669	1269	1253	1221	1146	835	1307	1514	1422
Gene_2670	0	1	0	0	0	0	0	0
Gene_2671	604	332	677	804	878	615	777	670
Gene_2672	91660	66328	88218	97434	62186	66908	65285	67405
Gene_2673	2386	2053	2166	3319	2672	2041	2578	2157
Gene_2674	1067	656	868	500	676	602	569	487
Gene_2675	64	71	81	94	72	95	93	73
Gene_2676	28	20	23	30	31	28	55	37
Gene_2677	104	107	71	75	545	364	504	278
Gene_2678	0	0	2	0	0	0	0	1
Gene_2679	6811	4627	4297	5184	6949	4152	7438	6295
Gene_2680	1	1	0	1	0	0	0	0
Gene_2681	2677	1809	2652	3277	2165	1651	2301	1960
Gene_2682	21326	18107	24485	25816	13712	17690	31065	17948
Gene_2683	22	10	27	14	7	14	12	17
Gene_2684	4310	3312	4644	3152	3060	3504	2504	3807
Gene_2685	62	130	85	63	325	422	275	403
Gene_2686	129	153	202	143	119	134	164	112
Gene_2687	0	0	4	0	2	0	1	1
Gene_2688	0	1	0	1	0	1	0	1
Gene_2689	911	875	811	931	138	213	366	437
Gene_2690	430	291	542	431	480	400	294	445
Gene_2691	0	0	0	0	0	1	0	1
Gene_2692	10	3	4	6	7	4	6	10
Gene_2693	0	0	0	0	0	0	0	0
Gene_2694	673	339	717	523	623	487	421	423
Gene_2695	2	1	2	1	2	2	4	1
Gene_2696	1294	4013	2201	3281	2232	2396	2942	1564
Gene_2697	177	138	183	204	248	234	206	138
Gene_2698	63	44	95	95	129	92	101	70
Gene_2699	911	1294	1100	819	3245	3679	3575	3209
Gene_2700	270	268	182	194	283	222	167	329
Gene_2701	0	1	0	0	0	0	0	2
Gene_2702	7	3	9	4	4	7	4	13
Gene_2703	1	0	2	1	1	2	6	2
Gene_2704	1	2	2	2	6	12	1	4
Gene_2705	221	368	336	284	142	222	249	174
Gene_2706	43	112	73	75	51	69	96	113
Gene_2707	219	276	401	316	152	185	334	183
Gene_2708	47985	34401	43519	43543	28731	32208	33117	34901
Gene_2709	1788	2082	1253	1420	1862	1664	1129	1908
Gene_2710	5941	6355	4587	6202	5236	5858	5413	4998
Gene_2711	130	130	193	83	86	60	143	91
Gene_2712	7	2	3	4	4	3	3	3
Gene_2713	11445	8915	6818	6703	7029	8046	5573	4876
Gene_2714	106	151	229	295	202	161	160	169
Gene_2715	10	16	18	11	18	17	23	23
Gene_2716	383	507	269	640	675	537	538	633
Gene_2717	3681	4168	3699	4034	3667	3606	4318	4856
Gene_2718	159	72	87	96	27	33	45	40
Gene_2719	17311	22600	16712	13259	20678	20782	16161	22426
Gene_2720	2010	1467	1775	1278	705	712	1274	1494
Gene_2721	60	61	62	47	84	90	95	65
Gene_2722	1	5	1	4	3	1	0	0
Gene_2723	847	781	748	901	459	811	811	610
Gene_2724	10	32	26	6	21	33	28	23
Gene_2725	3453	3681	2815	2534	3815	2756	1811	2449
Gene_2726	95	44	86	76	82	80	50	63
Gene_2727	2766	4377	3441	4448	3033	3961	2992	4076
Gene_2728	23	17	16	30	12	21	18	8
Gene_2729	31	26	32	39	23	27	20	21
Gene_2730	1199	907	1051	1131	1035	818	1737	1127
Gene_2731	102	68	87	105	101	111	73	75
Gene_2732	213	248	203	246	159	183	166	161
Gene_2733	2255	2341	2396	2200	1945	1807	2799	2049
Gene_2734	1554	952	969	1131	987	1400	833	1370
Gene_2735	6386	8508	6183	6315	6283	7224	8235	5784
Gene_2736	33558	66616	44729	28519	28514	51224	37534	55441
Gene_2737	100	190	146	243	50	35	59	55
Gene_2738	6153	5049	5229	7844	4842	3933	6629	5907
Gene_2739	1	0	0	0	0	0	0	0
Gene_2740	18010	17127	18924	18652	14873	24122	15139	20668
Gene_2741	33	34	25	41	38	33	52	22
Gene_2742	4265	2265	3189	2832	6420	7457	1834	5323
Gene_2743	0	5	1	1	1	0	6	1
Gene_2744	2	6	4	0	1	1	3	2
Gene_2745	53	72	36	84	49	50	51	51
Gene_2746	0	1	1	3	0	2	3	6
Gene_2747	65	38	45	66	62	51	48	42
Gene_2748	120	53	47	72	89	96	109	73
Gene_2749	51	103	51	87	81	86	76	42
Gene_2750	17818	18610	19208	24729	16034	18784	24891	15134
Gene_2751	0	0	1	2	1	1	1	0
Gene_2752	0	0	0	1	0	0	0	0
Gene_2753	1645	1826	1976	1030	1132	963	1294	1644
Gene_2754	173	133	191	198	159	201	127	165
Gene_2755	554	424	399	419	180	263	156	145
Gene_2756	434	334	443	559	507	381	456	361
Gene_2757	1	1	3	2	0	1	1	1
Gene_2758	949	669	721	1030	1044	1151	773	1093
Gene_2759	2	1	10	3	0	1	1	0
Gene_2760	132	134	99	74	103	113	116	127
Gene_2761	330	350	401	303	221	351	280	366
Gene_2762	134	145	196	217	130	136	95	219
Gene_2763	383136	288552	538098	264018	232325	269394	300501	301206
Gene_2764	322	313	518	578	716	475	622	558
Gene_2765	34628	30347	37803	47682	36621	48736	38310	22797
Gene_2766	203	210	253	135	730	678	864	819
Gene_2767	21	25	29	20	37	15	38	19
Gene_2768	105	77	64	70	67	70	55	68
Gene_2769	19	15	18	10	12	6	9	12
Gene_2770	41	60	66	78	72	75	68	54
Gene_2771	9	13	10	12	25	18	13	17
Gene_2772	16	14	11	9	14	13	12	12
Gene_2773	125	105	128	115	87	77	110	80
Gene_2774	0	0	1	1	0	0	0	0
Gene_2775	8466	7754	7809	10529	34608	32828	24287	25666
Gene_2776	7	11	6	9	3	2	1	1
Gene_2777	6742	9394	16554	9098	15721	14916	15705	11433
Gene_2778	3988	2859	2857	3563	3140	2630	3078	2970
Gene_2779	1	2	0	5	0	4	1	1
Gene_2780	80	146	149	113	157	202	126	173
Gene_2781	500	606	683	628	784	738	644	645
Gene_2782	7	4	4	12	3	4	14	4
Gene_2783	7	24	12	14	10	19	19	17
Gene_2784	86	125	68	132	92	80	98	67
Gene_2785	65	43	97	98	82	110	89	90
Gene_2786	20	26	56	22	32	22	41	54
Gene_2787	3381	2439	2712	3106	2731	2779	1348	2678
Gene_2788	152	124	115	94	142	155	122	123
Gene_2789	12457	9166	15516	17006	16223	15774	16821	14003
Gene_2790	686	587	765	512	717	593	735	609
Gene_2791	4	2	1	2	2	2	1	1
Gene_2792	6	3	4	3	28	25	19	52
Gene_2793	358	339	241	328	296	314	395	301
Gene_2794	70	45	52	56	56	54	38	51
Gene_2795	25	37	34	33	41	33	38	37
Gene_2796	1486	2620	2691	2934	872	1114	932	879
Gene_2797	19	4	15	18	12	11	18	27
Gene_2798	1391	1469	1178	1198	1099	1241	1101	1199
Gene_2799	109	121	159	143	136	92	171	192
Gene_2800	46	28	71	43	53	34	41	83
Gene_2801	4	7	3	5	2	3	3	8
Gene_2802	363	487	377	316	408	296	360	306
Gene_2803	64	94	154	110	101	125	110	149
Gene_2804	5429	11854	8045	14045	7255	12523	11136	9703
Gene_2805	18	17	18	14	30	13	14	5
Gene_2806	86069	72708	67229	93898	49144	95782	73838	76100
Gene_2807	1455	2145	2638	1218	1200	1778	1724	1166
Gene_2808	587921	482696	438644	449781	415812	617573	333761	304009
Gene_2809	128	155	80	136	156	131	88	148
Gene_2810	22	24	14	12	21	19	20	6
Gene_2811	53	64	37	47	56	65	40	52
Gene_2812	12509	20196	9761	13532	16068	12820	19219	14666
Gene_2813	696	422	427	488	438	506	356	827
Gene_2814	0	0	0	0	0	0	0	0
Gene_2815	38	29	33	42	20	33	37	53
Gene_2816	85	80	91	77	482	411	216	439
Gene_2817	18	14	25	19	10	14	13	15
Gene_2818	0	0	0	1	0	1	1	0
Gene_2819	9	7	10	6	12	15	8	16
Gene_2820	1915	921	1250	1083	1714	2004	1512	1324
Gene_2821	57	79	47	69	24	14	22	11
Gene_2822	1600	2634	1980	1713	2502	2265	1666	1292
Gene_2823	326	231	260	176	238	167	252	237
Gene_2824	253	194	281	263	254	207	207	222
Gene_2825	9278	11532	9592	8263	11642	14774	14240	10183
Gene_2826	17	21	11	11	24	19	11	30
Gene_2827	662	587	636	618	433	484	692	613
Gene_2828	11	7	17	7	9	12	14	14
Gene_2829	1	0	3	0	1	1	2	2
Gene_2830	49	55	59	76	102	66	44	65
Gene_2831	32	26	27	13	6	4	8	8
Gene_2832	40	74	60	69	84	76	31	84
Gene_2833	5767	8330	6546	6289	7046	6700	6308	7087
Gene_2834	1	0	1	3	9	1	4	2
Gene_2835	30	20	38	20	10	36	16	23
Gene_2836	115	139	127	161	226	157	222	101
Gene_2837	2	2	5	11	9	5	3	6
Gene_2838	310	322	313	135	237	241	266	204
Gene_2839	0	1	4	0	3	5	2	1
Gene_2840	29	36	23	32	48	34	40	37
Gene_2841	0	0	0	0	0	1	0	0
Gene_2842	5549	4484	4517	10019	8771	6463	6289	4735
Gene_2843	11	19	23	20	61	58	90	73
Gene_2844	392	702	316	845	535	575	550	675
Gene_2845	4	8	5	5	2	0	7	6
Gene_2846	591	764	750	796	710	709	640	466
Gene_2847	750	895	806	865	830	658	725	618
Gene_2848	1099	2152	993	1200	2079	1900	1450	1750
Gene_2849	69	76	107	110	88	69	93	63
Gene_2850	691	601	493	631	1651	2458	2056	1993
Gene_2851	53	42	57	32	33	53	40	41
Gene_2852	127445	226965	168263	93548	102124	131863	182271	144623
Gene_2853	3107	3705	3580	2352	2892	2606	2765	3205
Gene_2854	49	31	43	49	65	54	48	41
Gene_2855	67	78	74	66	74	35	45	85
Gene_2856	1241	1116	616	1210	507	310	351	402
Gene_2857	1819217	1969763	2729571	1228506	1794178	1863947	2525687	3007192
Gene_2858	0	0	0	0	0	0	0	0
Gene_2859	0	0	0	0	0	0	0	0
Gene_2860	6	2	7	5	6	5	4	4
Gene_2861	2824	2198	2670	1913	688	639	996	854
Gene_2862	509	875	370	441	483	410	355	365
Gene_2863	45471	34871	30900	47073	241947	309284	143472	131017
Gene_2864	0	1	0	2	1	2	2	0
Gene_2865	72	85	81	82	62	93	91	87
Gene_2866	25	12	19	26	19	14	15	23
Gene_2867	1	0	2	1	5	3	5	2
Gene_2868	183	195	186	130	189	143	176	258
Gene_2869	112	99	103	127	390	247	512	414
Gene_2870	10	15	17	13	10	7	8	11
Gene_2871	8	6	2	3	2	4	6	5
Gene_2872	3564	3338	1630	4548	4462	2790	2741	6765
Gene_2873	10	8	7	4	5	7	3	5
Gene_2874	13	27	27	41	39	36	36	30
Gene_2875	7	9	7	4	6	6	9	3
Gene_2876	332	344	319	318	281	394	334	207
Gene_2877	21	20	18	26	19	8	24	28
Gene_2878	46	38	49	40	48	39	45	31
Gene_2879	2	3	3	4	1	5	2	4
Gene_2880	818	1260	925	1209	1262	891	1238	1533
Gene_2881	505	309	414	540	579	539	368	560
Gene_2882	290	185	157	320	239	170	259	295
Gene_2883	730	452	426	434	647	650	597	840
Gene_2884	10	17	18	26	16	10	24	15
Gene_2885	9	7	6	5	34	52	29	35
Gene_2886	38	70	53	35	10	14	10	17
Gene_2887	6801	8471	8414	11281	5399	5277	8227	5320
Gene_2888	741	1118	1017	935	811	449	1184	1217
Gene_2889	2532	3587	3319	3737	1901	1704	3066	2778
Gene_2890	429	248	403	292	363	382	405	229
Gene_2891	6718	7011	8974	8378	9572	5499	6342	7431
Gene_2892	0	0	0	0	0	0	0	0
Gene_2893	24	31	24	36	21	36	45	22
Gene_2894	64	39	26	29	40	53	72	41
Gene_2895	0	1	0	0	1	0	3	0
Gene_2896	44	28	25	22	27	28	26	48
Gene_2897	60	40	40	60	46	73	45	39
Gene_2898	87	112	73	185	69	110	89	114
Gene_2899	195	155	198	291	166	147	160	125
Gene_2900	0	1	0	1	0	1	0	1
Gene_2901	91	99	88	76	161	161	87	91
Gene_2902	0	0	0	1	1	0	0	0
Gene_2903	3	4	2	4	6	7	6	7
Gene_2904	2646	2707	4474	2906	2442	2342	1609	2343
Gene_2905	53	33	36	25	17	47	48	52
Gene_2906	11913	12466	11516	11063	7534	11839	8180	9692
Gene_2907	308	198	295	155	611	731	727	776
Gene_2908	3261	2855	3792	4241	1279	1402	802	1058
Gene_2909	7	14	8	12	9	9	14	7
Gene_2910	24	34	36	27	101	150	66	139
Gene_2911	14880	12782	14368	11534	15766	13088	21687	15434
Gene_2912	1330	906	836	930	901	890	858	712
Gene_2913	15	17	21	24	27	18	23	30
Gene_2914	279	516	177	243	304	307	330	477
Gene_2915	93	75	93	71	316	259	347	241
Gene_2916	3224	2559	3828	3211	3292	2279	2778	2640
Gene_2917	650	432	808	649	262	324	201	145
Gene_2918	4	11	1	5	6	8	13	1
Gene_2919	0	0	3	0	0	1	3	3
Gene_2920	3657	3719	5404	3191	3627	4804	3060	3245
Gene_2921	1043	689	825	660	2033	2836	3403	1903
Gene_2922	213	206	225	207	151	153	81	192
Gene_2923	0	3	0	4	1	3	3	7
Gene_2924	1	2	0	3	2	2	0	1
Gene_2925	45	65	26	35	21	53	44	33
Gene_2926	311	241	324	305	382	267	424	234
Gene_2927	411	280	272	300	249	268	249	323
Gene_2928	3077	1337	1818	1992	2111	2141	1745	1466
Gene_2929	140	174	263	196	53	74	65	61
Gene_2930	49	46	45	52	73	53	51	71
Gene_2931	100	124	98	91	101	86	110	77
Gene_2932	190	117	231	146	224	198	89	151
Gene_2933	0	1	0	0	0	0	0	0
Gene_2934	223	224	327	249	192	137	188	228
Gene_2935	855	709	693	667	585	533	472	702
Gene_2936	894	1223	875	944	893	1234	1093	1008
Gene_2937	12	18	26	31	35	25	23	26
Gene_2938	1867	2667	2148	1705	2060	1951	1586	2187
Gene_2939	317	241	193	253	194	408	281	286
Gene_2940	22	47	43	36	20	44	58	53
Gene_2941	90	74	71	87	66	87	67	107
Gene_2942	0	1	1	0	0	0	0	1
Gene_2943	13	12	11	6	12	12	9	6
Gene_2944	6	7	6	6	6	8	6	2
Gene_2945	19772	28204	30317	35086	24644	21303	28753	39202
Gene_2946	80	132	101	112	93	130	90	148
Gene_2947	304	519	363	411	350	394	289	396
Gene_2948	73	49	37	38	42	48	61	57
Gene_2949	45	56	42	22	32	32	47	52
Gene_2950	27	35	25	33	33	50	18	18
Gene_2951	17	8	9	10	6	9	25	10
Gene_2952	134	127	124	130	135	138	169	124
Gene_2953	3	1	3	1	3	4	3	1
Gene_2954	10	12	12	11	10	11	11	13
Gene_2955	692	774	478	608	1112	702	812	587
Gene_2956	293	274	221	245	314	198	337	270
Gene_2957	19	17	11	14	10	14	26	20
Gene_2958	39	43	42	49	31	35	58	54
Gene_2959	0	0	0	0	0	0	0	0
Gene_2960	7302	8250	5557	9404	7437	5959	7459	7114
Gene_2961	86	94	87	72	72	91	148	48
Gene_2962	74	96	111	82	63	102	105	116
Gene_2963	2	3	2	1	6	7	16	16
Gene_2964	0	0	0	0	0	0	0	0
Gene_2965	109	155	96	98	96	100	119	116
Gene_2966	116	124	102	84	94	102	117	104
Gene_2967	8	8	14	9	5	11	18	10
Gene_2968	192	154	240	155	235	180	243	265
Gene_2969	12	8	13	9	16	12	5	7
Gene_2970	8	16	16	16	62	60	49	51
Gene_2971	1076	677	702	651	738	682	1107	856
Gene_2972	7395	4415	3530	5709	4897	4870	3605	8464
Gene_2973	40	37	42	42	17	14	29	35
Gene_2974	1084	857	853	1083	1406	1057	865	1215
Gene_2975	6	2	4	1	4	4	4	4
Gene_2976	2	2	3	3	3	1	2	2
Gene_2977	56	53	48	53	56	36	85	44
Gene_2978	129	131	104	150	100	126	96	142
Gene_2979	90	92	76	111	117	74	123	99
Gene_2980	362	465	322	447	592	535	317	395
Gene_2981	462	388	345	461	467	504	313	412
Gene_2982	6142	5019	4242	5855	21618	23418	26563	23878
Gene_2983	3298	2113	2246	3908	2857	4105	1662	2160
Gene_2984	11	8	11	19	18	19	25	20
Gene_2985	42	26	37	40	61	24	32	34
Gene_2986	350	447	290	304	247	677	310	411
Gene_2987	9	3	4	10	10	7	3	2
Gene_2988	210	153	118	208	157	181	217	147
Gene_2989	7	7	6	10	7	5	13	5
Gene_2990	2575	2021	3001	3025	2722	2478	3241	3223
Gene_2991	16	27	13	16	22	19	20	27
Gene_2992	0	4	3	4	2	5	2	0
Gene_2993	135	181	284	244	194	176	211	215
Gene_2994	32	43	34	21	20	29	41	68
Gene_2995	63	52	61	81	57	66	51	41
Gene_2996	4729	6404	4915	4381	3594	9282	5329	4426
Gene_2997	95	69	100	80	75	87	81	54
Gene_2998	4	3	3	1	6	18	3	13
Gene_2999	47	34	68	47	91	41	85	66
Gene_3000	17	13	21	16	1	1	3	3
Gene_3001	176	414	537	396	400	404	240	324
Gene_3002	188	224	261	265	274	280	301	272
Gene_3003	4	5	3	3	6	4	3	6
Gene_3004	9	14	16	23	23	11	18	15
Gene_3005	62	68	54	53	10	14	19	18
Gene_3006	278	210	343	222	703	1051	1111	1019
Gene_3007	2136	1481	1186	1325	7101	9434	6311	5070
Gene_3008	774	396	637	544	633	644	789	706
Gene_3009	0	0	1	1	2	2	0	0
Gene_3010	368	349	427	275	248	409	465	220
Gene_3011	486	410	507	567	612	582	522	721
Gene_3012	6	7	7	5	2	4	5	3
Gene_3013	5	2	2	3	1	0	5	4
Gene_3014	23	38	35	34	49	45	23	19
Gene_3015	97	167	293	162	134	268	194	185
Gene_3016	195	100	98	178	54	59	55	74
Gene_3017	4	0	2	0	2	1	2	1
Gene_3018	12	10	5	10	11	3	7	14
Gene_3019	54	54	65	85	47	64	69	80
Gene_3020	2	3	0	3	2	0	3	1
Gene_3021	1	2	1	4	0	1	0	0
Gene_3022	777	531	573	502	530	555	598	596
Gene_3023	0	1	1	3	2	1	3	0
Gene_3024	168	253	256	164	237	213	128	217
Gene_3025	32	41	48	39	33	32	24	36
Gene_3026	3359	4042	4148	2966	9199	10054	7026	11066
Gene_3027	2822	1862	2296	1738	2429	1949	2163	1558
Gene_3028	237	217	165	169	193	223	216	259
Gene_3029	430	336	426	425	623	405	435	583
Gene_3030	493	420	532	351	460	386	702	377
Gene_3031	434	286	367	365	281	562	424	377
Gene_3032	0	4	5	1	2	0	1	1
Gene_3033	73	34	45	58	19	11	14	14
Gene_3034	2	3	1	0	1	0	0	3
Gene_3035	12	11	15	9	65	44	54	34
Gene_3036	498	412	465	460	367	320	545	327
Gene_3037	11	17	5	5	8	9	8	13
Gene_3038	304	268	319	452	448	384	282	357
Gene_3039	14	21	21	20	25	19	9	21
Gene_3040	417	635	475	552	476	654	704	601
Gene_3041	0	0	0	0	0	0	0	0
Gene_3042	9	15	8	7	4	5	9	17
Gene_3043	4	1	2	5	4	5	3	2
Gene_3044	432	543	652	646	596	524	797	577
Gene_3045	1526	1668	1808	1701	1951	1983	2750	1726
Gene_3046	19	25	12	32	16	13	10	21
Gene_3047	19	15	17	18	9	13	14	23
Gene_3048	13	28	19	18	19	22	18	19
Gene_3049	25	21	17	26	20	18	15	21
Gene_3050	8	11	5	10	17	14	16	9
Gene_3051	374	307	449	484	356	352	499	358
Gene_3052	0	1	1	0	1	0	2	0
Gene_3053	83	90	94	75	108	104	62	56
Gene_3054	0	1	1	0	1	0	1	1
Gene_3055	25899	32100	39244	43711	29602	49152	30641	43672
Gene_3056	2	2	5	4	6	1	2	12
Gene_3057	51	46	65	38	200	111	226	137
Gene_3058	1194	1261	966	917	872	649	1166	987
Gene_3059	7152	5018	5460	5974	7445	7878	4403	7357
Gene_3060	13	3	9	8	6	5	11	9
Gene_3061	0	1	3	0	19	15	11	17
Gene_3062	191	225	166	190	83	51	76	48
Gene_3063	244	236	300	318	354	249	384	409
Gene_3064	5966	7543	5217	5723	6819	7131	6074	12578
Gene_3065	54	36	48	63	37	64	30	33
Gene_3066	97	67	77	69	73	42	79	90
Gene_3067	222	191	359	391	287	348	280	391
Gene_3068	1100	1140	1978	1273	747	720	549	576
Gene_3069	1	4	3	2	4	3	7	5
Gene_3070	734	520	469	462	550	354	505	398
Gene_3071	24	52	39	38	32	41	62	55
Gene_3072	1	1	1	4	5	5	2	5
Gene_3073	138	217	140	200	205	148	230	167
Gene_3074	4	2	0	2	2	3	0	3
Gene_3075	287	160	170	185	158	158	245	186
Gene_3076	574	685	745	923	222	187	232	204
Gene_3077	3113	3861	5572	6012	5371	5281	2892	3851
Gene_3078	34	16	24	24	17	24	36	34
Gene_3079	41	25	51	47	34	40	34	45
Gene_3080	1060	500	423	500	535	373	289	856
Gene_3081	77	50	55	70	353	202	295	347
Gene_3082	132	111	161	138	168	155	239	129
